section;indicator_code;indicator_name;subsection;object_name;object_level;object_oktmo;object_okato;year;indicator_value;indicator_unit;comment;source;version_date;value_status
Социально-экономическое развитие;Y477130055;Фактическое конечное потребление домашних хозяйств на террит;Всего, млн руб.;Российская Федерация;Страна;00000000;00000000;2023;88551449.5;ND;CD;Социальное положение и уровень жизни населения России 2025;v20260313;ok
Жилищные условия населения;Y477030023;Заменено водопроводных сетей;В том числе: водоводов;Республика Ингушетия;Регион;26000000;26000000;2024;-77777777.0;ND;CD;Жилищное хозяйство в России 2025;v20260313;hidden
Состояние здоровья населения;Y477040011;Заболеваемость подростков в возрасте 15‒17 лет по основным к;Болезни мочеполовой системы;Омская область;Регион;52000000;52000000;2021;37.9;Зарегистрировано заболеваний у пациентов с диагнозом, установленным впервые в жизни, на 1000 человек населения соответствующего возраста;CD;Здравоохранение в России 2023;v20260313;ok
Наука и инновации;Y477110308;Поступление патентных заявок и выдача патентов в России: Выд;CD;Российская Федерация;Страна;00000000;00000000;2011;10571.0;Единиц;По данным Роспатента;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Уровень благосостояния, социальное обеспечение и социальная помощь;Y477020013;Удельный вес работающих пенсионеров в процентах от общей чис;Женщины;Северо-Западный федеральный округ;Федеральный округ;00000000;00000000;2021;24.4;ND;Состоящих на учете в системе Пенсионного;Женщины и мужчины России 2022;v20260313;ok
Основные экономические показатели по виду экономической деятельности «растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях;Y477120036;Степень износа основных фондов по виду деятельности растение;CD;Российская Федерация;Страна;00000000;00000000;2020;43.4;В процентах;С 2018 года данные приведены по группиро;Сельское хозяйство в России 2023;v20260313;ok
Субъекты малого и среднего предпринимательства — юридические лица;Y477060064;Средняя численность работников малых предприятий по виду эко;CD;Курганская область;Регион;37000000;37000000;2010;2.1143;Тысяч человек;Включая микропредприятия;Малое и среднее предпринимательство в России 2022;v20260313;ok
Основные экономические показатели по видам экономической деятельности;Y477150011;Коммерческие и управленческие расходы организаций торговли;Торговля оптовая и розничная автотранспортными средствами и мотоциклами и их ремонт;Сибирский федеральный округ;Федеральный округ;00000000;00000000;2024;62491.0;Миллионов рублей;По данным бухгалтерской отчетности. Без ;Торговля в России 2025;v20260313;ok
Строительство;Y477110075;Жилые дома, находящиеся в незавершенном строительстве;Число жилых домов;Чукотский автономный округ;Регион;77000000;77000000;2010;20.0;ND;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Население;Y477110369;Смертность населения в трудоспособном возрасте;CD;Владимирская область;Регион;17000000;17000000;2005;1040.3;Число умерших на 100 000 человек соответствующего возраста;2000‒2018 гг. — мужчины в возрасте 16‒59;Регионы России. Социально-экономические показатели 2024;v20260313;ok
Наука и инновации;Y477110041;Внутренние текущие затраты на научные исследования и разрабо;CD;Тамбовская область;Регион;68000000;68000000;2018;59.4945;Миллионов рублей;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Безработные;Y477100008;Уровень безработицы населения;CD;Калининградская область;Регион;27000000;27000000;2023;3.027103184538844;В процентах;До 2017 года население в возрасте 15‒72 ;Рабочая сила, занятость и безработица в России 2024;v20260313;ok
Население;Y477110369;Смертность населения в трудоспособном возрасте;CD;Калужская область;Регион;29000000;29000000;2017;559.3;Число умерших на 100 000 человек соответствующего возраста;Мужчины в возрасте 16‒59 лет, женщины в ;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Финансы;Y477110067;Депозиты (вклады) юридических и физических лиц в рублях, при;CD;Тульская область;Регион;70000000;70000000;2009;34733.0;Исходя из места привлечения средств, на начало года, миллионов рублей;По данным Банка России;Регионы России. Социально-экономические показатели 2024;v20260313;ok
Основные показатели сельского хозяйства;Y477120051;Энергетические мощности в сельскохозяйственных организациях;CD;Чувашская Республика;Регион;97000000;97000000;2024;76.8;В расчете на 1 работника, л. с;Без учета микропредприятий;Сельское хозяйство в России 2025;v20260313;ok
Состояние здоровья населения;Y477040011;Заболеваемость подростков в возрасте 15‒17 лет по основным к;Врожденные аномалии (пороки развития), деформации и хромосомные нарушения;Республика Башкортостан;Регион;80000000;80000000;2021;1.1;Зарегистрировано заболеваний у пациентов с диагнозом, установленным впервые в жизни, на 1000 человек населения соответствующего возраста;CD;Здравоохранение в России 2023;v20260313;ok
Состояние жилищного фонда;Y477030056;Распределение числа многоквартирных домов по материалу стен;Материал стен: кирпич;Амурская область;Регион;10000000;10000000;2021;11404.0;ND;CD;Жилищное хозяйство в России 2022;v20260313;ok
Здравоохранение;Y477110211;Мощность амбулаторно-поликлинических организаций: На 10000 ч;CD;Тамбовская область;Регион;68000000;68000000;2014;263.7;На конец года, посещений в смену;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Организации;Y477110222;Оборот организаций;CD;Республика Адыгея;Регион;79000000;79000000;2018;72.1804208;Миллиардов рублей;Без субъектов малого предпринимательства;Регионы России. Социально-экономические показатели 2024;v20260313;ok
Жилищные условия населения;Y477030034;Общая площадь жилых помещений, приходящаяся в среднем на одн;CD;Санкт-Петербург;Регион;40000000;40000000;2020;26.031289539811397;Квадратных метров;CD;Жилищное хозяйство в России 2025;v20260313;ok
Реализация программ в сфере жилищно-коммунального хозяйства;Y477030042;Предоставление гражданам социальной поддержки по оплате жило;Среднемесячный размер социальной поддержки на одного пользователя, руб;Северо-Кавказский федеральный округ;Федеральный округ;00000000;00000000;2024;974.1190127691992;ND;CD;Жилищное хозяйство в России 2025;v20260313;ok
Отдельные показатели деятельности предприятий и организаций промышленности по субъектам и федеральным округам российской федерации;Y477090015;Производство электроэнергии;CD;Дальневосточный федеральный округ;Федеральный округ;00000000;00000000;2020;69.080349;Миллиард киловатт-часов;CD;Промышленное производство в России 2023;v20260313;ok
Динамика тарифов на грузовые перевозки и услуги связи;Y477190002;Индексы тарифов на услуги связи для юридических и физических;Для физических лиц;Алтайский край;Регион;01000000;01000000;2023;104.6;Декабрь к декабрю предыдущего года, в процентах;С 2023 г. — услуги телекоммуникационные ;Цены в России 2024;v20260313;ok
Финансы организаций;Y477180022;Кредиторская задолженность организаций;В том числе просроченая:;Северо-Западный федеральный округ;Федеральный округ;00000000;00000000;2020;242434.0;Миллионов рублей;CD;Финансы в России 2022;v20260313;ok
Здравоохранение;Y477110082;Заболеваемость на 1000 человек населения по основным классам;CD;Забайкальский край;Регион;76000000;76000000;2019;37.5;Зарегистрировано заболеваний у пациентов с диагнозом, установленным впервые в жизни;"По данным Минздрава России; Данные за 20";Регионы России. Социально-экономические показатели 2024;v20260313;ok
Строительство и рынок жилья;Y477030007;Ввод в действие жилых домов на 1000 человек населения;CD;Курганская область;Регион;37000000;37000000;2022;434.74162243353294;Квадратных метров общей площади;CD;Жилищное хозяйство в России 2025;v20260313;ok
Уровень жизни населения;Y477110400;Структура потребительских расходов домашних хозяйств;Покупка непродовольственных товаров;Архангельская область (с автономным округом);Регион;11000000;11000000;2018;39.0;По итогам выборочного обследования бюджетов домашних хозяйств, в процентах;Данные за 2012‒2022 годы публикуются без;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Инвестиции и финансовое состояние жилищно-коммунального хозяйства;Y477030027;Инвестиции в жилые здания и помещения;CD;Республика Алтай;Регион;84000000;84000000;2021;2443.016;В фактически действовавших ценах, миллионов рублей;CD;Жилищное хозяйство в России 2025;v20260313;ok
Демографическая ситуация;Y477130021;Ожидаемая продолжительность жизни при рождении;Все население: мужчины и женщины;Уральский федеральный округ;Федеральный округ;00000000;00000000;2022;72.41;Число лет;Данные за 2021 г. публикуются без учета ;Социальное положение и уровень жизни населения России 2023;v20260313;ok
Жилищные условия населения;Y477030080;Число централизованных систем водоснабжения;Всего;Костромская область;Регион;34000000;34000000;2019;622.0;ND;CD;Жилищное хозяйство в России 2022;v20260313;ok
Культура, отдых и туризм;Y477110480;Численность российских туристов, обслуженных туристскими фир;CD;Пензенская область;Регион;56000000;56000000;2023;25.982;Тысяч человек;Статистическое наблюдение ведется с 2002;Регионы России. Социально-экономические показатели 2024;v20260313;ok
Условия жизни населения;Y477040027;Продажа алкогольных напитков населению;Коньяк;Пермский край;Регион;57000000;57000000;2022;214.8;"Тысяч декалитров; для значений в целом по России: млн дкл";По данным Росалкогольтабакрегулирования ;Здравоохранение в России 2023;v20260313;ok
Наличие объектов торговли и общественного питания;Y477150016;Наличие торговых площадей по состоянию на конец года;Магазины;Российская Федерация;Страна;00000000;00000000;2022;131760741.7;Квадратных метров;CD;Торговля в России 2023;v20260313;ok
Уровень жизни населения;Y477110400;Структура потребительских расходов домашних хозяйств;Покупка продуктов питания;Владимирская область;Регион;17000000;17000000;2010;36.6;По итогам выборочного обследования бюджетов домашних хозяйств, в процентах;"Включая питание вне дома; Данные за 2012";Регионы России. Социально-экономические показатели 2023;v20260313;ok
Основные экономические показатели по видам экономической деятельности;Y477150010;Коммерческие и управленческие расходы организаций оптовой то;Торговля оптовая, кроме оптовой торговли автотранспортными средствами и мотоциклами;Приморский край;Регион;05000000;05000000;2024;55962.0;Миллионов рублей;По данным бухгалтерской отчетности. Без ;Торговля в России 2025;v20260313;ok
Рождаемость;Y477010004;Прерывание беременности (аборты);Число абортов на 1000 женщин в возрасте 15‒49 лет;Уральский федеральный округ;Федеральный округ;00000000;00000000;2014;35.6;ND;CD;Демографический ежегодник России 2023;v20260313;ok
Торговля и услуги населению;Y477110233;Объем бытовых услуг населению: Всего;CD;Ивановская область;Регион;24000000;24000000;2020;4507.009400000001;Миллионов рублей;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Основные экономические показатели здравоохранения;Y477040002;Ввод в действие мощностей амбулаторно-поликлинических органи;CD;Волгоградская область;Регион;18000000;18000000;2023;740.0;Посещений в смену;CD;Здравоохранение в России 2025;v20260313;ok
Население;Y477110370;Соотношение браков и разводов;CD;Хабаровский край;Регион;08000000;08000000;2001;985.0;На 1000 браков приходится разводов;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Труд;Y477110449;Численность зарегистрированных безработных;CD;Томская область;Регион;69000000;69000000;2005;23.2;На конец года, тысяч человек;По данным Федеральной службы по труду и ;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Занятые;Y477100019;Численность занятых по наличию дополнительной работы и готов;Хотят иметь (ищут) дополнительную работу, тыс. человек;Российская Федерация;Страна;00000000;00000000;2021;1801.55535265267;ND;CD;Рабочая сила, занятость и безработица в России 2022;v20260313;ok
Валовой региональный продукт;Y477110005;Валовой региональный продукт;CD;Российская Федерация;Страна;00000000;00000000;2005;18034385.2;Миллионов рублей;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Основные экономические показатели транспорта;Y477160009;Среднемесячная номинальная начисленная заработная плата рабо;Их них по отдельным видам экономической деятельности: автомобиль-ный грузовой транспорт и услуги по перевозкам;Калининградская область;Регион;27000000;27000000;2023;33109.7;Рублей;CD;Транспорт в России 2024;v20260313;ok
Здравоохранение;Y477110490;Число больничных коек: Всего;CD;Кировская область;Регион;33000000;33000000;2023;11.0;На конец года, тысяч коек;2005 г. — включая койки дневных стациона;Регионы России. Социально-экономические показатели 2024;v20260313;ok
Состояние здоровья населения;Y477040012;Заболевания, осложнившие роды и послеродовой период;Болезни системы кровообращения;Республика Хакасия;Регион;95000000;95000000;2024;1.51;На 1000 родов;CD;Здравоохранение в России 2025;v20260313;ok
Затраты на рабочую силу, заработная плата работников;Y477170013;Среднемесячная начисленная заработная плата наёмных работник;CD;Северо-Западный федеральный округ;Федеральный округ;00000000;00000000;2019;45745.0;Рублей;CD;Труд и занятость в России 2023;v20260313;ok
Строительство и рынок жилья;Y477030074;Число зарегистрированных прав граждан и юридических лиц на ж;Общая площадь жилых помещений, на которые зарегистрированы права на основании договоров купли-продажи, тыс. м2;Томская область;Регион;69000000;69000000;2024;903.7;ND;CD;Жилищное хозяйство в России 2025;v20260313;ok
Здравоохранение;Y477110440;Численность врачей всех специальностей: Всего;CD;Владимирская область;Регион;17000000;17000000;2017;4.7;Тысяч человек;С 2012, 2015 гг. — изменение методологии;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Основные экономические показатели транспорта;Y477160001;Индексы тарифов на грузовые перевозки;CD;Российская Федерация;Страна;00000000;00000000;2022;128.44;Декабрь к декабрю предыдущего года, в процентах;CD;Транспорт в России 2024;v20260313;ok
Уровень жизни населения;Y477110412;Удельный вес расходов домашних хозяйств на оплату жилищно-ко;CD;Воронежская область;Регион;20000000;20000000;2010;8.7;По данным Выборочного обследования бюджетов домашних хозяйств;Данные за 2012‒2022 годы публикуются без;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Сельское, лесное хозяйство, рыболовство и рыбоводство;Y477110359;Расход кормов в расчете на одну условную голову крупного ско;CD;Рязанская область;Регион;61000000;61000000;2009;35.35;Центнеров кормовых единиц;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Основные фонды и инвестиции в основной капитал;Y477140023;Инвестиции в основной капитал на душу населения;CD;Центральный федеральный округ;Федеральный округ;00000000;00000000;2023;266819.0;В фактически действовавших ценах, рублей;Данные за 2011‒2021 годы рассчитаны с ис;Строительство в России 2024;v20260313;ok
Денежное обращение и кредит;Y477180003;Вклады (депозиты) физических лиц на валютных счетах в сберба;Вклады (депозиты) населения, млн руб.;Новгородская область;Регион;49000000;49000000;2022;4942.6755516164285;На начало года;По данным Сбербанка России;Финансы в России 2022;v20260313;ok
Трудовые ресурсы, затраты труда и производительность труда;Y477170012;Среднегодовая численность занятых;CD;Российская Федерация;Страна;00000000;00000000;2010;71493.1;Тысяч человек;Данные за 2015‒2022 гг. публикуются без ;Труд и занятость в России 2023;v20260313;ok
Промышленное производство;Y477110242;Объем отгруженных товаров собственного производства, выполне;CD;Алтайский край;Регион;01000000;01000000;2024;18568.0;В фактически действовавших ценах, миллионов рублей;Данные сформированы по полному кругу орг;Регионы России. Социально-экономические показатели 2025;v20260313;ok
Инвестиции в основной капитал;Y477050020;Распределение инвестиций в основной капитал по отдельными фо;Иностранная;Тюменская область (без автономных округов);Регион;71000000;71000000;2017;1.9;В процентах от общего объема инвестиций в основной капитал;CD;Инвестиции в России 2023;v20260313;ok
Земельные ресурсы и охрана окружающей природной среды;Y477110416;Улавливание загрязняющих атмосферу веществ, отходящих от ста;CD;Саратовская область;Регион;63000000;63000000;2009;463.0;Тысяч тонн;С 2018 г. — по данным Федеральной службы;Регионы России. Социально-экономические показатели 2025;v20260313;ok
Транспорт;Y477110291;Отправление пассажиров железнодорожным транспортом общего по;CD;Калужская область;Регион;29000000;29000000;2012;5785.0;Тысяч человек;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Жилищные условия населения;Y477030040;Одиночное протяжение уличных канализационных сетей;CD;Республика Саха (Якутия);Регион;98000000;98000000;2015;475.6;На конец года, километров;CD;Жилищное хозяйство в России 2022;v20260313;ok
Сельское, лесное хозяйство, рыболовство и рыбоводство;Y477110426;Урожайность льна-долгунца;CD;Ярославская область;Регион;78000000;78000000;2005;6.2;В хозяйствах всех категорий, центнеров льноволокна с одного гектара убранной площади;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Транспорт;Y477110406;Удельный вес автомобильных дорог с твердым покрытием в общей;CD;Ханты-Мансийский автономный округ — Югра;Регион;71800000;71100000;2010;96.5;На конец года, в процентах;"По данным Росавтодора и Росстата; С 2006";Регионы России. Социально-экономические показатели 2023;v20260313;ok
Здравоохранение;Y477110091;Заболеваемость на 1000 человек населения по основным классам;CD;Республика Адыгея;Регион;79000000;79000000;2014;9.1;Зарегистрировано заболеваний у пациентов с диагнозом, установленным впервые в жизни;"По данным Минздрава России; Данные за 20";Регионы России. Социально-экономические показатели 2024;v20260313;ok
Внешняя торговля;Y477110036;Внешняя торговля со странами СНГ: Экспорт;CD;Приволжский федеральный округ;Федеральный округ;00000000;00000000;2010;5070.2;В фактически действовавших ценах, миллионов долларов США;В связи с приостановкой публикации данны;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Жилищное и социально-культурное строительство;Y477140013;Ввод в действие мощностей больничных организаций;CD;Ивановская область;Регион;24000000;24000000;2014;-77777777.0;Коек;CD;Строительство в России 2022;v20260313;hidden
Строительство;Y477110020;Ввод в действие зданий жилого и нежилого назначения: Число з;CD;Республика Башкортостан;Регион;80000000;80000000;2020;14507.0;ND;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Предприятия и организации;Y477110350;Просроченная задолженность по заработной плате в расчете на ;CD;Республика Адыгея;Регион;79000000;79000000;2008;17369.0;На конец года, рублей;Без субъектов малого предпринимательства;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Результаты инвестиционной деятельности;Y477050011;Ввод в действие объектов по охране материнства и детства и с;Детские поликли-ники, посещений в смену;Иркутская область;Регион;25000000;25000000;2024;150.0;ND;В том числе из мощностей амбулаторно-пол;Инвестиции в России 2025;v20260313;ok
Уровень жизни населения;Y477110396;Структура денежных доходов населения;Доходы от предпринимательской деятельности;Севастополь;Регион;67000000;67000000;2008;-99999999.0;В процентах от общего объема денежных доходов;До 2013 г. расчеты произведены в соответ;Регионы России. Социально-экономические показатели 2023;v20260313;no_data
Финансы;Y477110149;Исполнение бюджета пенсионного фонда Российской Федерации: Р;CD;Сибирский федеральный округ;Федеральный округ;00000000;00000000;2011;574653.2;Миллионов рублей;С 2021 г. — по данным Пенсионного фонда ;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Основные фонды;Y477110390;Степень износа основных фондов;CD;Ярославская область;Регион;78000000;78000000;2015;51.6;На конец года, в процентах;По коммерческим организациям (без субъек;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Основные показатели сельского хозяйства;Y477120031;Производство молока;CD;Мурманская область;Регион;47000000;47000000;2024;19.374;В хозяйствах всех категорий, тысяч тонн;CD;Сельское хозяйство в России 2025;v20260313;ok
Валовой региональный продукт;Y477110432;Фактическое конечное потребление домашних хозяйств на террит;CD;Нижегородская область;Регион;22000000;22000000;2022;1449725.5;В текущих рыночных ценах, миллионов рублей;CD;Регионы России. Социально-экономические показатели 2025;v20260313;ok
Торговля и услуги населению;Y477110341;Продажа товаров на розничных рынках и ярмарках;CD;Сибирский федеральный округ;Федеральный округ;00000000;00000000;2024;66702.4;"В фактически действовавших ценах, миллионов рублей; для значений в целом по России: млрд руб";Данные за 2000‒2017 гг. по Сибирскому и ;Регионы России. Социально-экономические показатели 2025;v20260313;ok
Состояние здоровья населения;Y477040009;Заболеваемость населения по основным классам болезней;Болезни мочеполовой системы;Пензенская область;Регион;56000000;56000000;2023;36.800000000000004;Зарегистрировано заболеваний у пациентов с диагнозом, установленным впервые в жизни, на 1000 человек населения;CD;Здравоохранение в России 2025;v20260313;ok
Услуги почтовой связи и курьерские;Y477080056;Объем услуг почтовой связи и курьерских услуг населению;CD;Республика Хакасия;Регион;95000000;95000000;2022;260.5114;Миллионов рублей;До 2017 г. учитывались в составе услуг с;Платное обслуживание населения в России 2023;v20260313;ok
Уровень жизни населения;Y477110331;Предоставление гражданам субсидий на оплату жилого помещения;CD;Ямало-Ненецкий автономный округ;Регион;71900000;71140000;2002;6.0;По состоянию на конец отчетного периода, тысяч;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Население;Y477110232;Общие коэффициенты смертности;CD;Уральский федеральный округ;Федеральный округ;00000000;00000000;2002;15.0;Число умерших на 1000 человек населения;Данные за 2011‒2021 годы пересчитаны с у;Регионы России. Социально-экономические показатели 2024;v20260313;ok
Строительство;Y477110017;Ввод в действие жилых домов: На 1000 человек населения;CD;Белгородская область;Регион;14000000;14000000;2007;701.32559765926;Квадратных метров общей площади жилых помещений;Данные за 2011‒2021 годы пересчитаны с у;Регионы России. Социально-экономические показатели 2024;v20260313;ok
Уровень и динамика цен на потребительском рынке;Y477190020;Стоимость наборов потребительских товаров и услуг: Стоимость;Стоимость фиксированного набора: в процентах к средне-российской стоимости;Российская Федерация;Страна;00000000;00000000;2022;100.0;На конец года;CD;Цены в России 2024;v20260313;ok
Наука и инновации;Y477110042;Внутренние текущие затраты на научные исследования и разрабо;CD;Волгоградская область;Регион;18000000;18000000;2013;1459.0;Миллионов рублей;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Организации;Y477110062;Дебиторская задолженность организаций: Всего;CD;Республика Коми;Регион;87000000;87000000;2008;79298.0;На конец года, миллионов рублей;2000, 2001, 2002 гг. — без учета данных ;Регионы России. Социально-экономические показатели 2024;v20260313;ok
Информационные и коммуникационные технологии;Y477110167;Использование цифровых технологий в организациях: Организаци;CD;Ханты-Мансийский автономный округ — Югра;Регион;71800000;71100000;2018;25.9;В процентах от общего числа обследованных организаций соответствующего субъекта Российской федерации;Федеральное статистическое наблюдение ос;Регионы России. Социально-экономические показатели 2025;v20260313;ok
Субъекты малого и среднего предпринимательства — юридические лица;Y477060019;Оборот малых предприятий по виду экономической деятельности ;CD;Ульяновская область;Регион;73000000;73000000;2013;-99999999.0;Миллиардов рублей;Включая микропредприятия;Малое и среднее предпринимательство в России 2024;v20260313;no_data
Трудовые ресурсы, затраты труда и производительность труда;Y477170012;Среднегодовая численность занятых;CD;Еврейская автономная область;Регион;99000000;99000000;2015;70.3;Тысяч человек;Данные за 2015‒2022 гг. публикуются без ;Труд и занятость в России 2023;v20260313;ok
Организации;Y477110222;Оборот организаций;CD;Ямало-Ненецкий автономный округ;Регион;71900000;71140000;2012;1464.0;Миллиардов рублей;Без субъектов малого предпринимательства;Регионы России. Социально-экономические показатели 2024;v20260313;ok
Наука и инновации;Y477110144;Инновационная активность организаций: Удельный вес организац;CD;Новгородская область;Регион;49000000;49000000;2001;9.6;В процентах;Расчет показателя осуществляется в соотв;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Сельское, лесное хозяйство, рыболовство и рыбоводство;Y477110122;Индексы производства продукции сельского хозяйства: Всего;CD;Уральский федеральный округ;Федеральный округ;00000000;00000000;2008;101.0;В хозяйствах всех категорий, в сопоставимых ценах, в процентах к предыдущему году;CD;Регионы России. Социально-экономические показатели 2024;v20260313;ok
Здравоохранение;Y477110482;Численность среднего медицинского персонала: На 10000 челове;CD;Удмуртская Республика;Регион;94000000;94000000;2022;99.5;На конец года, человек;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Бытовые услуги;Y477080067;Показатели платных услуг по химической чистке и крашению, ус;Индекс физического объема услуг по химической чистке и крашению, услуг прачечных, в процентах к предыдущему году;Российская Федерация;Страна;00000000;00000000;2021;123.4;ND;CD;Платное обслуживание населения в России 2023;v20260313;ok
Социальная защита;Y477130015;Номинальный и реальный размер назначенных пенсий;Реальный размер назначенных пенсий, в процентах к предыдущему году;Российская Федерация;Страна;00000000;00000000;2022;98.6;На 1 января;CD;Социальное положение и уровень жизни населения России 2023;v20260313;ok
Строительство;Y477110075;Жилые дома, находящиеся в незавершенном строительстве;Число жилых домов;Северо-Западный федеральный округ;Федеральный округ;00000000;00000000;2013;524.0;ND;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Рабочая сила;Y477100024;Численность рабочей силы по возрастным группам;В том числе в возрасте, лет: 20‒29;Камчатский край;Регион;30000000;30000000;2023;23.62226925404172;ND;CD;Рабочая сила, занятость и безработица в России 2024;v20260313;ok
Движение работников организаций, использование рабочего времени, трудовая миграция;Y477170010;Прием и выбытие работников (без субъектов малого предпринима;Из них по соглашению сторон: в процентах от списочной численности;Республика Марий Эл;Регион;88000000;88000000;2021;1.5;В течение года;CD;Труд и занятость в России 2023;v20260313;ok
Информационные и коммуникационные технологии;Y477110167;Использование цифровых технологий в организациях: Организаци;CD;Республика Мордовия;Регион;89000000;89000000;2022;21.7;В процентах от общего числа обследованных организаций соответствующего субъекта Российской федерации;Федеральное статистическое наблюдение ос;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Финансы;Y477110099;Задолженность по кредитам в рублях, предоставленным кредитны;CD;Курская область;Регион;38000000;38000000;2008;1649.0;Исходя из местонахождения заемщиков, на начало года, миллионов рублей;По данным Банка России;Регионы России. Социально-экономические показатели 2024;v20260313;ok
