section;indicator_code;indicator_name;subsection;object_name;object_level;object_oktmo;object_okato;year;indicator_value;indicator_unit;comment;source;version_date;value_status
Уровень жизни населения;Y477110060;Граница бедности;CD;Уральский федеральный округ;Федеральный округ;00000000;00000000;2023;-99999999.0;Рублей;Разработка показателя ведется с 2021 г. ;Регионы России. Социально-экономические показатели 2024;v20260313;no_data
Основные экономические показатели здравоохранения;Y477040003;Ввод в действие мощностей больничных организаций;CD;Псковская область;Регион;58000000;58000000;2010;-77777777.0;Коек;CD;Здравоохранение в России 2023;v20260313;hidden
Состояние здоровья населения;Y477040017;Контингенты пациентов с психическими расстройствами и расстр;Всего, человек;Республика Калмыкия;Регион;85000000;85000000;2010;3247.0;Численность пациентов, состоящих на учете в лечебно-профилактических организациях, на конец года;CD;Здравоохранение в России 2023;v20260313;ok
Занятость, безработица и условия труда, трудовая деятельность волонтеров;Y477130066;Численность рабочей силы;В том числе: безработные;Сибирский федеральный округ;Федеральный округ;00000000;00000000;2024;231.411;По данным выборочного обследования рабочей силы, в среднем за год;CD;Социальное положение и уровень жизни населения России 2025;v20260313;ok
Субъекты малого и среднего предпринимательства — юридические лица;Y477060036;Оборот розничной торговли средних предприятий;CD;Пермский край;Регион;57000000;57000000;2013;-99999999.0;Миллиардов рублей;CD;Малое и среднее предпринимательство в России 2022;v20260313;no_data
Потребительский рынок;Y477150017;Оборот розничной торговли и общественного питания субъектов ;Оборот общественного питания: млн руб.;Российская Федерация;Страна;00000000;00000000;2024;1482879.7;"; для значений в целом по России: млрд руб";Включая данные по микропредприятиям, но ;Торговля в России 2025;v20260313;ok
Культура, отдых и туризм;Y477110500;Число спортивных сооружений: Плавательные бассейны;CD;Пермский край;Регион;57000000;57000000;2012;67.0;ND;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Занятые;Y477100005;Структура занятых по возрастным группам;В том числе в возрасте, лет: 50‒59;Владимирская область;Регион;17000000;17000000;2023;22.580121014487283;В процентах к итогу;CD;Рабочая сила, занятость и безработица в России 2024;v20260313;ok
Уровень жизни населения;Y477110326;Предоставление гражданам социальной поддержки (льгот) по опл;CD;Республика Башкортостан;Регион;80000000;80000000;2020;5774.763099999999;Миллионов рублей;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Сельское, лесное хозяйство, рыболовство и рыбоводство;Y477110417;Улов рыбы и добыча других водных биоресурсов;CD;Мурманская область;Регион;47000000;47000000;2019;665841.0;Тонн;По данным Росрыболовства;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Уровень жизни населения;Y477110378;Среднемесячная номинальная начисленная заработная плата рабо;CD;Омская область;Регион;52000000;52000000;2009;14780.5;Рублей;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Финансы;Y477110289;Отдельные показатели деятельности страховщиков: Страховые пр;CD;Тамбовская область;Регион;68000000;68000000;2005;506.0;Миллионов рублей;Информация приведена исходя из мест реги;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Участие в рабочей силе, занятость и безработица;Y477170031;Уровень безработицы по возрастным группам;В том числе в возрасте, лет: 50‒59;Ямало-Ненецкий автономный округ;Регион;71900000;71140000;2022;0.6894237515634056;В процентах;Данные за предыдущие годы опубликованы н;Труд и занятость в России 2023;v20260313;ok
Численность населения;Y477010007;Средний возраст населения на 1 января;Сельское население: мужчины и женщины;Дальневосточный федеральный округ;Федеральный округ;00000000;00000000;2023;38.2;Лет;CD;Демографический ежегодник России 2023;v20260313;ok
Уровень жизни населения;Y477110499;Число собственных легковых автомобилей на 1000 человек насел;CD;Брянская область;Регион;15000000;15000000;2024;222.89381573894659;На конец года, штук;По данным МВД России о числе зарегистрир;Регионы России. Социально-экономические показатели 2025;v20260313;ok
Жилищное и социально-культурное строительство;Y477140007;Ввод в действие жилых домов, построенных населением;CD;Белгородская область;Регион;14000000;14000000;2023;661.156;Тысяч квадратных метров общей площади жилых помещений;CD;Строительство в России 2024;v20260313;ok
Здравоохранение;Y477110080;Заболеваемость на 1000 человек населения по основным классам;CD;Ленинградская область;Регион;41000000;41000000;2019;30.3;Зарегистрировано заболеваний у пациентов с диагнозом, установленным впервые в жизни;"По данным Минздрава России; Данные за 20";Регионы России. Социально-экономические показатели 2024;v20260313;ok
Денежное обращение и кредит;Y477180023;Объем жилищных кредитов (ипотечных жилищных кредитов), предо;Жилищные кредиты;Республика Татарстан;Регион;92000000;92000000;2022;0.0;Исходя из местонахождения заемщика, миллионов рублей;По данным Банка России;Финансы в России 2024;v20260313;ok
Предоставление государственных услуг населению в области содействия занятости;Y477170005;Нагрузка незанятого населения, зарегистрированного в органах;CD;Ямало-Ненецкий автономный округ;Регион;71900000;71140000;2019;0.20433067253876502;По данным Роструда, человек;CD;Труд и занятость в России 2023;v20260313;ok
Здравоохранение;Y477110079;Заболеваемость на 1000 человек населения по основным классам;CD;Ярославская область;Регион;78000000;78000000;2018;43.6;Зарегистрировано заболеваний у пациентов с диагнозом, установленным впервые в жизни;"По данным Минздрава России; Данные за 20";Регионы России. Социально-экономические показатели 2024;v20260313;ok
Транспортные услуги;Y477080055;Объем транспортных услуг населению;CD;Северо-Кавказский федеральный округ;Федеральный округ;00000000;00000000;2022;85813.9493;Миллионов рублей;CD;Платное обслуживание населения в России 2023;v20260313;ok
Образование;Y477110217;Обеспеченность детей дошкольного возраста местами в организа;CD;Северо-Западный федеральный округ;Федеральный округ;00000000;00000000;2011;733.0;На конец года, приходится мест на 1000 детей;До 2014 г. показатель рассчитывался по д;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Население;Y477110194;Коэффициенты демографической нагрузки: Моложе трудоспособног;CD;Республика Дагестан;Регион;82000000;82000000;2018;434.0;Оценка на конец года, на 1000 человек трудоспособного возраста приходится лиц нетрудоспособных возрастов;CD;Регионы России. Социально-экономические показатели 2024;v20260313;ok
Финансы;Y477110385;Средства (вклады) физических лиц на рублевых счетах в ПАО Сб;CD;Ростовская область;Регион;60000000;60000000;2020;241456.0;На начало года, миллионов рублей;По данным ПАО Сбербанк. С 1 января 2020 ;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Сельское, лесное хозяйство, рыболовство и рыбоводство;Y477110424;Урожайность зерновых и зернобобовых культур (в весе после до;CD;Ульяновская область;Регион;73000000;73000000;2023;28.83121839686814;В хозяйствах всех категорий, центнеров с одного гектара убранной площади;CD;Регионы России. Социально-экономические показатели 2024;v20260313;ok
Цены и тарифы;Y477110113;Индексы потребительских цен на непродовольственные товары;CD;Республика Крым;Регион;35000000;35000000;2008;-99999999.0;Декабрь к декабрю предыдущего года, в процентах;CD;Регионы России. Социально-экономические показатели 2023;v20260313;no_data
Состояние здоровья населения;Y477040016;Контингенты пациентов с наркоманией;На 100 000 человек населения;Республика Бурятия;Регион;81000000;81000000;2019;76.4;Численность пациентов, состоящих на учете в лечебно-профилактических организациях, на конец года;Данные за 2015‒2022 гг. рассчитаны с уче;Здравоохранение в России 2023;v20260313;ok
Основные экономические показатели транспорта;Y477160008;Среднегодовая численность работников организаций по виду эко;Из них по отдельным видам экономической деятельности: железнодорож-ный транспорт: грузовые перевозки;Южный федеральный округ;Федеральный округ;00000000;00000000;2020;14471.0;Человек;CD;Транспорт в России 2022;v20260313;ok
