indicator_code;indicator_name;section;primary_unit
Y477110274;Основные показатели по виду экономической деятельности рыболовство: Сальдированный финансовый результат (прибыль минус убыток) деятельности организаций;Сельское, лесное хозяйство, рыболовство и рыбоводство;Миллионов рублей
Y477110275;Основные показатели по виду экономической деятельности рыболовство: Среднегодовая численность работников организаций;Сельское, лесное хозяйство, рыболовство и рыбоводство;Человек
Y477110276;Основные показатели по виду экономической деятельности рыболовство: Среднесписочная численность работников организаций;Сельское, лесное хозяйство, рыболовство и рыбоводство;Человек
Y477110277;Основные показатели по виду экономической деятельности рыболовство: Удельный вес убыточных организаций в общем числе организаций по виду экономической деятельности рыболовство;Сельское, лесное хозяйство, рыболовство и рыбоводство;Процентов
Y477110278;Основные показатели по виду экономической деятельности рыболовство: Число организаций;Сельское, лесное хозяйство, рыболовство и рыбоводство;На конец года
Y477110279;Основные финансовые показатели организаций, осуществляющих деятельность в растениеводстве и животноводстве: Рентабельность проданных товаров, продукции (работ, услуг) организаций. животноводство;Сельское, лесное хозяйство, рыболовство и рыбоводство;Процентов
Y477110280;Основные финансовые показатели организаций, осуществляющих деятельность в растениеводстве и животноводстве: Рентабельность проданных товаров, продукции (работ, услуг) организаций. растениеводство;Сельское, лесное хозяйство, рыболовство и рыбоводство;Процентов
Y477110281;Основные финансовые показатели организаций, осуществляющих деятельность в растениеводстве и животноводстве: Сальдированный финансовый результат (прибыль (убыток) до налогообложения) организаций. животноводство;Сельское, лесное хозяйство, рыболовство и рыбоводство;Миллионов рублей
Y477110282;Основные финансовые показатели организаций, осуществляющих деятельность в растениеводстве и животноводстве: Сальдированный финансовый результат (прибыль (убыток) до налогообложения) организаций. растениеводство;Сельское, лесное хозяйство, рыболовство и рыбоводство;Миллионов рублей
Y477110283;Основные финансовые показатели организаций, осуществляющих деятельность в растениеводстве и животноводстве: Сальдированный финансовый результат (прибыль минус убыток) организаций . растениеводство;Сельское, лесное хозяйство, рыболовство и рыбоводство;Миллионов рублей
Y477110284;Основные финансовые показатели организаций, осуществляющих деятельность в растениеводстве и животноводстве: Сальдированный финансовый результат (прибыль минус убыток) организаций. животноводство;Сельское, лесное хозяйство, рыболовство и рыбоводство;Миллионов рублей
Y477110285;Основные финансовые показатели организаций, осуществляющих деятельность в растениеводстве и животноводстве: Сальдированный финансовый результат (прибыль минус убыток) организаций. растениеводство;Сельское, лесное хозяйство, рыболовство и рыбоводство;Миллионов рублей
Y477110286;Отдельные показатели деятельности страховщиков, исходя из места заключения договора: Выплаты по договорам страхования;Финансы;Миллионов рублей
Y477110287;Отдельные показатели деятельности страховщиков, исходя из места заключения договора: Страховые премии (взносы);Финансы;Миллионов рублей
Y477110288;Отдельные показатели деятельности страховщиков: Выплаты по договорам страхования;Финансы;Миллионов рублей
Y477110289;Отдельные показатели деятельности страховщиков: Страховые премии (взносы);Финансы;Миллионов рублей
Y477110290;Отправление грузов железнодорожным транспортом общего пользования;Транспорт;Миллионов тонн
Y477110291;Отправление пассажиров железнодорожным транспортом общего пользования;Транспорт;Тысяч человек
Y477110292;Пассажирооборот автобусов общего пользования;Транспорт;Миллионов пассажиро-километров
Y477110293;Перевозки грузов автомобильным транспортом организаций всех видов деятельности;Транспорт;Миллионов тонн
Y477110294;Перевозки пассажиров автобусами общего пользования;Транспорт;Миллионов человек
Y477110295;Плотность автомобильных дорог общего пользования с твердым покрытием;Транспорт;На конец года, км дорог на 1000 км2 территории
Y477110296;Плотность железнодорожных путей общего пользования;Транспорт;На конец года, км путей на 10000 км2 территории
Y477110297;Поголовье крупного рогатого скота;Сельское, лесное хозяйство, рыболовство и рыбоводство;В хозяйствах всех категорий, на конец года, тысяч голов
Y477110298;Поголовье овец и коз;Сельское, лесное хозяйство, рыболовство и рыбоводство;В хозяйствах всех категорий, на конец года, тысяч голов
Y477110299;Поголовье свиней;Сельское, лесное хозяйство, рыболовство и рыбоводство;В хозяйствах всех категорий, на конец года, тысяч голов
Y477110300;Посевные площади зерновых и зернобобовых культур;Сельское, лесное хозяйство, рыболовство и рыбоводство;В хозяйствах всех категорий, тысяча гектаров
Y477110301;Посевные площади картофеля;Сельское, лесное хозяйство, рыболовство и рыбоводство;В хозяйствах всех категорий, тысяч гектаров
Y477110302;Посевные площади льна-долгунца;Сельское, лесное хозяйство, рыболовство и рыбоводство;В хозяйствах всех категорий, тысяча гектаров
Y477110303;Посевные площади овощей;Сельское, лесное хозяйство, рыболовство и рыбоводство;В хозяйствах всех категорий, тысяч гектаров
Y477110304;Посевные площади подсолнечника;Сельское, лесное хозяйство, рыболовство и рыбоводство;В хозяйствах всех категорий, тысяча гектаров
Y477110305;Посевные площади сахарной свеклы;Сельское, лесное хозяйство, рыболовство и рыбоводство;В хозяйствах всех категорий, тысяча гектаров
Y477110306;Посевные площади сельскохозяйственных культур;Сельское, лесное хозяйство, рыболовство и рыбоводство;В хозяйствах всех категорий, тысяча гектаров
Y477110307;Поступление патентных заявок и выдача патентов в России: Выдано патентов на изобретения;Наука и инновации;Единиц
Y477110308;Поступление патентных заявок и выдача патентов в России: Выдано патентов на полезные модели;Наука и инновации;Единиц
Y477110309;Поступление патентных заявок и выдача патентов в России: Подано патентных заявок на изобретения;Наука и инновации;Единиц
Y477110310;Поступление патентных заявок и выдача патентов в России: Подано патентных заявок на полезные модели;Наука и инновации;Единиц
Y477110311;Поступление прямых иностранных инвестиций в российскую федерацию: Изъято;Инвестиции;По данным платежного баланса Российской Федерации, миллионов долларов США
Y477110312;Поступление прямых иностранных инвестиций в российскую федерацию: Поступило;Инвестиции;По данным платежного баланса Российской Федерации, миллионов долларов США
Y477110313;Поступление прямых иностранных инвестиций в российскую федерацию: Сальдо;Инвестиции;По данным платежного баланса Российской Федерации, миллионов долларов США
Y477110314;Потребительские расходы в среднем на душу населения;Уровень жизни населения;В месяц, рублей
Y477110315;Потребление молока и молочных продуктов на душу населения;Уровень жизни населения;В год, килограммов
Y477110316;Потребление мяса и мясопродуктов (включая субпродукты II категории и жир-сырец) на душу населения;Уровень жизни населения;В год, килограммов
Y477110317;Потребление растительного масла на душу населения;Уровень жизни населения;В год, килограммов
Y477110318;Потребление сахара на душу населения;Уровень жизни населения;В год, килограммов
Y477110319;Потребление хлебных продуктов на душу населения;Уровень жизни населения;В год, килограммов
Y477110320;Потребление яиц на душу населения;Уровень жизни населения;В год, штук
Y477110321;Потребность в работниках, заявленная работодателями в органы службы занятости населения;Труд;На конец года, человек
Y477110322;Предоставление гражданам жилых помещений: Удельный вес семей, получивших жилые помещения, в числе семей, состоявших на учете в качестве нуждающихся в жилых помещениях;Уровень жизни населения;В процентах
Y477110323;Предоставление гражданам жилых помещений: Удельный вес семей, состоявших на учете в качестве нуждающихся в жилых помещениях, в общем числе семей;Уровень жизни населения;В процентах
Y477110324;Предоставление гражданам жилых помещений: Число семей, получивших жилые помещения и улучшивших жилищные условия за год;Уровень жизни населения;Тысяч
Y477110325;Предоставление гражданам жилых помещений: Число семей, состоявших на учете в качестве нуждающихся в жилых помещениях;Уровень жизни населения;На конец года, тысяч
Y477110326;Предоставление гражданам социальной поддержки (льгот) по оплате жилого помещения и коммунальных услуг: Объем средств, предусмотренных на предоставление гражданам социальной поддержки по оплате жилого помещения и коммунальных услуг;Уровень жизни населения;Миллионов рублей
Y477110327;Предоставление гражданам социальной поддержки (льгот) по оплате жилого помещения и коммунальных услуг: Среднемесячный размер социальной поддержки на одного пользователя;Уровень жизни населения;Рублей
Y477110328;Предоставление гражданам социальной поддержки (льгот) по оплате жилого помещения и коммунальных услуг: Численность граждан, пользующихся социальной поддержкой по оплате жилого помещения и коммунальных услуг;Уровень жизни населения;Тысяч человек
Y477110329;Предоставление гражданам субсидий на оплату жилого помещения и коммунальных услуг: Общая сумма начисленных субсидий на оплату жилого помещения и коммунальных услуг;Уровень жизни населения;Миллионов рублей
Y477110330;Предоставление гражданам субсидий на оплату жилого помещения и коммунальных услуг: Среднемесячный размер субсидий на семью;Уровень жизни населения;На конец отчетного периода, рублей
Y477110331;Предоставление гражданам субсидий на оплату жилого помещения и коммунальных услуг: Число семей, получавших субсидии на оплату жилого помещения и коммунальных услуг;Уровень жизни населения;По состоянию на конец отчетного периода, тысяч
Y477110332;Преподаватели и мастера производственного обучения, реализующие программы подготовки квалифицированных рабочих, служащих: Численность мастеров производственного обучения;Образование;На конец года, человек
Y477110333;Преподаватели и мастера производственного обучения, реализующие программы подготовки квалифицированных рабочих, служащих: Численность преподавателей;Образование;На конец года, человек
Y477110334;Преподаватели и мастера производственного обучения, реализующие программы подготовки специалистов среднего звена: Численность мастеров производственного обучения;Образование;На начало учебного года, человек
Y477110335;Преподаватели и мастера производственного обучения, реализующие программы подготовки специалистов среднего звена: Численность преподавателей;Образование;На начало учебного года, человек
Y477110336;Прерывание беременности (аборты): На 100 родов;Здравоохранение;
Y477110337;Прерывание беременности (аборты): На 1000 женщин 15‒49 лет;Здравоохранение;
Y477110338;Прием на обучение по программам бакалавриата, специалитета, магистратуры;Образование;Тысяч человек
Y477110339;Прием на обучение по программам подготовки квалифицированных рабочих, служащих;Образование;Тысяч человек
Y477110340;Прием на обучение по программам подготовки специалистов среднего звена;Образование;Тысяч человек
Y477110341;Продажа товаров на розничных рынках и ярмарках;Торговля и услуги населению;"В фактически действовавших ценах, миллионов рублей; для значений в целом по России: млрд руб"
Y477110342;Продукция сельского хозяйства;Сельское, лесное хозяйство, рыболовство и рыбоводство;В хозяйствах всех категорий, в фактически действовавших ценах, миллионов рублей
Y477110343;Производство лесоматериалов необработанных;Сельское, лесное хозяйство, рыболовство и рыбоводство;"Тысяч плотных кубических метров; для значений в целом по России: млн плотных м"
Y477110344;Производство меда;Сельское, лесное хозяйство, рыболовство и рыбоводство;В хозяйствах всех категорий, тонн
Y477110345;Производство молока;Сельское, лесное хозяйство, рыболовство и рыбоводство;В хозяйствах всех категорий, тысяч тонн
Y477110346;Производство скота и птицы на убой (в убойном весе);Сельское, лесное хозяйство, рыболовство и рыбоводство;В хозяйствах всех категорий, тысяч тонн
Y477110347;Производство шерсти;Сельское, лесное хозяйство, рыболовство и рыбоводство;В хозяйствах всех категорий, в физическом весе, тонн
Y477110348;Производство электроэнергии;Промышленное производство;Миллиардов киловатт-часов
Y477110349;Производство яиц;Сельское, лесное хозяйство, рыболовство и рыбоводство;В хозяйствах всех категорий, миллионов штук
Y477110350;Просроченная задолженность по заработной плате в расчете на одного работника, перед которым имеется просроченная задолженность;Организации;На конец года, рублей
Y477110351;Просроченная задолженность по заработной плате работникам организаций;Организации;На конец года, миллионов рублей
Y477110352;Разработанные передовые производственные технологии;Наука и инновации;
Y477110353;Распределение числа выбывших по направлениям передвижения: В другие регионы России;Население;В процентах от общего числа выбывших
Y477110354;Распределение числа выбывших по направлениям передвижения: В пределах региона;Население;В процентах от общего числа выбывших
Y477110355;Распределение числа выбывших по направлениям передвижения: За пределы России;Население;В процентах от общего числа выбывших
Y477110356;Распределение числа прибывших по направлениям передвижения: В пределах региона;Население;В процентах от общего числа прибывших
Y477110357;Распределение числа прибывших по направлениям передвижения: Из других регионов;Население;В процентах от общего числа прибывших
Y477110358;Распределение числа прибывших по направлениям передвижения: Из-за пределов России;Население;В процентах от общего числа прибывших
Y477110359;Расход кормов в расчете на одну условную голову крупного скота в сельскохозяйственных организациях;Сельское, лесное хозяйство, рыболовство и рыбоводство;Центнеров кормовых единиц
Y477110360;Расходы консолидированных бюджетов субъектов Российской Федерации;Финансы;"Миллионов рублей; для значений в целом по России: млрд руб"
Y477110361;Расходы консолидированных бюджетов субъектов Российской Федерации на реализацию мер социальной поддержки отдельных категорий граждан;Финансы;Тысяч рублей
Y477110362;Реальные денежные доходы: Реальная начисленная заработная плата работников организаций;Уровень жизни населения;В процентах к предыдущему году
Y477110363;Реальные денежные доходы: Реальные доходы населения;Уровень жизни населения;В процентах к предыдущему году
Y477110364;Реальные денежные доходы: Реальный размер назначенных пенсий;Уровень жизни населения;В процентах к предыдущему году
Y477110365;Сальдированный финансовый результат (прибыль (убыток) до налогообложения) деятельности организаций;Организации;Миллионов рублей
Y477110366;Сальдированный финансовый результат (прибыль минус убыток) деятельности организаций;Организации;Миллионов рублей
Y477110367;Сброс загрязненных сточных вод в поверхностные водные объекты;Земельные ресурсы и охрана окружающей природной среды;Миллионов кубических метров
Y477110368;Смертность населения (без показателя смертности от внешних причин);Население;Число умерших на 100 000 человек населения
Y477110369;Смертность населения в трудоспособном возрасте;Население;Число умерших на 100 000 человек соответствующего возраста
Y477110370;Соотношение браков и разводов;Население;На 1000 браков приходится разводов
Y477110371;Соотношение мужчин и женщин;Население;Оценка на конец года, на 1000 мужчин приходится женщин
Y477110372;Среднегодовая численность занятых;Труд;Тысяч человек
Y477110373;Среднегодовая численность населения;Население;Оценка, тысяч человек
Y477110374;Среднедушевые денежные доходы населения;Уровень жизни населения;В месяц, рублей
Y477110375;Среднемесячная начисленная заработная плата муниципальных служащих органов местного самоуправления: В местных администрациях (исполнительно-распорядительных органах муниципальных образований);Уровень жизни населения;Рублей
Y477110376;Среднемесячная начисленная заработная плата муниципальных служащих органов местного самоуправления: В представительных органах муниципальных образований;Уровень жизни населения;Рублей
Y477110377;Среднемесячная начисленная заработная плата муниципальных служащих органов местного самоуправления: Всего;Уровень жизни населения;Рублей
Y477110378;Среднемесячная номинальная начисленная заработная плата работников организаций;Уровень жизни населения;Рублей
Y477110379;Средние цены на вторичном рынке жилья;Цены и тарифы;На конец года, рублей за квадратный метр общей площади
Y477110380;Средние цены на первичном рынке жилья;Цены и тарифы;На конец года, рублей за квадратный метр общей площади
Y477110381;Средний годовой настриг шерсти с одной овцы в сельскохозяйственных организациях;Сельское, лесное хозяйство, рыболовство и рыбоводство;В физическом весе, килограммов
Y477110382;Средний размер назначенных пенсий;Уровень жизни населения;На 1 января, рублей
Y477110383;Средняя годовая яйценоскость кур-несушек в сельскохозяйственных организациях;Сельское, лесное хозяйство, рыболовство и рыбоводство;Штук
Y477110384;Средства (вклады) физических лиц на валютных счетах в ПАО Сбербанк;Финансы;На начало года, миллионов рублей
Y477110385;Средства (вклады) физических лиц на рублевых счетах в ПАО Сбербанк;Финансы;На начало года, миллионов рублей
Y477110386;Средства (вклады) юридических и физических лиц в иностранной валюте, привлеченные кредитными организациями: Всего;Финансы;Исходя из места привлечения средств, на начало года, миллионов рублей
Y477110387;Средства (вклады) юридических и физических лиц в иностранной валюте, привлеченные кредитными организациями: Физических лиц;Финансы;Исходя из места привлечения средств, на начало года, миллионов рублей
Y477110388;Средства (вклады) юридических и физических лиц в рублях, привлеченные кредитными организациями: Всего;Финансы;Исходя из места привлечения средств, на начало года, миллионов рублей
Y477110389;Средства (вклады) юридических и физических лиц в рублях, привлеченные кредитными организациями: Физических лиц;Финансы;Исходя из места привлечения средств, на начало года, миллионов рублей
Y477110390;Степень износа основных фондов;Основные фонды;На конец года, в процентах
Y477110391;Стоимость основных фондов;Основные фонды;На конец года, по полной учетной стоимости, миллионов рублей
Y477110392;Стоимость условного (минимального) набора продуктов питания: Изменение стоимости минимального набора;Цены и тарифы;На конец года, к декабрю предыдущего года, в процентах
Y477110393;Стоимость условного (минимального) набора продуктов питания: Стоимость минимального набора;Цены и тарифы;На конец года, в процентах к среднероссийской стоимости
Y477110394;Стоимость фиксированного набора потребительских товаров и услуг: Изменение стоимости фиксированного набора;Цены и тарифы;На конец года, к декабрю предыдущего года, в процентах
Y477110395;Стоимость фиксированного набора потребительских товаров и услуг: Стоимость фиксированного набора;Цены и тарифы;На конец года, в процентах к среднероссийской стоимости
Y477110396;Структура денежных доходов населения;Уровень жизни населения;В процентах от общего объема денежных доходов
Y477110397;Структура использования денежных доходов населения;Уровень жизни населения;В процентах от общего объема денежных доходов
Y477110398;Структура оборота розничной торговли: Непродовольственные товары;Торговля и услуги населению;В фактически действовавших ценах, в процентах от общего объема оборота розничной торговли субъекта Российской Федерации
Y477110399;Структура оборота розничной торговли: Пищевые продукты, включая напитки, и табачные изделия;Торговля и услуги населению;В фактически действовавших ценах, в процентах от общего объема оборота розничной торговли субъекта Российской Федерации
Y477110400;Структура потребительских расходов домашних хозяйств;Уровень жизни населения;По итогам выборочного обследования бюджетов домашних хозяйств, в процентах
Y477110401;Структура социальных выплат;Уровень жизни населения;В процентах
Y477110402;Суммарный коэффициент рождаемости;Население;Число детей на 1 женщину
Y477110403;Темпы прироста численности населения;Население;Прирост за год, в процентах
Y477110404;Туристские фирмы: Число туристских фирм;Культура, отдых и туризм;
Y477110405;Туристские фирмы: Число турпакетов, реализованных населению;Культура, отдых и туризм;Тысяч
Y477110406;Удельный вес автомобильных дорог с твердым покрытием в общей протяженности автомобильных дорог общего пользования;Транспорт;На конец года, в процентах
Y477110407;Удельный вес автомобильных дорог с усовершенствованным покрытием в протяженности автомобильных дорог с твердым покрытием общего пользования;Транспорт;В процентах
Y477110408;Удельный вес городского населения в общей численности населения;Население;Оценка на конец года, в процентах
Y477110409;Удельный вес жилых домов, построенных населением за счет собственных и привлеченных средств, в общем вводе жилья;Строительство;В процентах
Y477110410;Удельный вес обучающихся во вторую и третью смены в организациях, осуществляющих образовательную деятельность по образовательным программам начального, основного и среднего общего образования;Образование;На начало учебного года, в процентах от общей численности обучающихся
Y477110411;Удельный вес полностью изношенных основных фондов в их общем объеме;Основные фонды;На конец года, по полной учетной стоимости, в процентах
Y477110412;Удельный вес расходов домашних хозяйств на оплату жилищно-коммунальных услуг: В процентах от общей суммы потребительских расходов;Уровень жизни населения;По итогам выборочного обследования бюджетов домашних хозяйств
Y477110413;Удельный вес расходов домашних хозяйств на оплату жилищно-коммунальных услуг: В процентах от общей суммы расходов на оплату услуг;Уровень жизни населения;По итогам выборочного обследования бюджетов домашних хозяйств
Y477110414;Удельный вес сельского населения в общей численности населения;Население;Оценка на конец года, в процентах
Y477110415;Удельный вес убыточных организаций;Организации;В процентах от общего числа организаций
Y477110416;Улавливание загрязняющих атмосферу веществ, отходящих от стационарных источников;Земельные ресурсы и охрана окружающей природной среды;Тысяч тонн
Y477110417;Улов рыбы и добыча других водных биоресурсов;Сельское, лесное хозяйство, рыболовство и рыбоводство;Тонн
Y477110418;Уровень безработицы: Уровень безработицы;Труд;По данным выборочных обследований рабочей силы, в процентах
Y477110419;Уровень безработицы: Уровень безработицы в трудоспособном возрасте;Труд;По данным выборочных обследований рабочей силы, в процентах
Y477110420;Уровень безработицы: Уровень зарегистрированной безработицы;Труд;На конец года, в процентах
Y477110421;Уровень занятости населения;Труд;По данным выборочных обследований рабочей силы, в процентах
Y477110422;Уровень занятости населения в трудоспособном возрасте;Труд;По данным выборочных обследований рабочей силы, в процентах
Y477110423;Уровень участия в составе рабочей силы;Труд;По данным выборочных обследований рабочей силы, в процентах
Y477110424;Урожайность зерновых и зернобобовых культур (в весе после доработки);Сельское, лесное хозяйство, рыболовство и рыбоводство;В хозяйствах всех категорий, центнеров с одного гектара убранной площади
Y477110425;Урожайность картофеля;Сельское, лесное хозяйство, рыболовство и рыбоводство;В хозяйствах всех категорий, центнеров с одного гектара убранной площади
Y477110426;Урожайность льна-долгунца;Сельское, лесное хозяйство, рыболовство и рыбоводство;В хозяйствах всех категорий, центнеров льноволокна с одного гектара убранной площади
Y477110427;Урожайность овощей;Сельское, лесное хозяйство, рыболовство и рыбоводство;В хозяйствах всех категорий, центнеров с одного гектара убранной площади
Y477110428;Урожайность подсолнечника;Сельское, лесное хозяйство, рыболовство и рыбоводство;В хозяйствах всех категорий, центнеров с одного гектара убранной площади
Y477110429;Урожайность сахарной свеклы;Сельское, лесное хозяйство, рыболовство и рыбоводство;В хозяйствах всех категорий, центнеров с одного гектара убранной площади
Y477110430;Фактическое конечное потребление домашних хозяйств на душу населения на территории субъектов Российской Федерации;Валовой региональный продукт;В текущих рыночных ценах, рублей
Y477110431;Фактическое конечное потребление домашних хозяйств на территории субъектов Российской Федерации: Всего;Валовой региональный продукт;В текущих рыночных ценах, миллионов рублей
Y477110432;Фактическое конечное потребление домашних хозяйств на территории субъектов Российской Федерации: Расходы домашних хозяйств;Валовой региональный продукт;В текущих рыночных ценах, миллионов рублей
Y477110433;Фактическое конечное потребление домашних хозяйств на территории субъектов Российской Федерации: Социальные трансферты в натуральной форме;Валовой региональный продукт;В текущих рыночных ценах, миллионов рублей
Y477110434;Численность активных абонентов фиксированного и мобильного широкополосного доступа к сети интернет на 100 человек населения: Численность активных абонентов мобильного широкополосного доступа к сети интернет;Информационные и коммуникационные технологии;На конец года, единиц
