indicator_code;indicator_name;section;primary_unit
Y477030058;Расходы консолидированных бюджетов субъектов Российской Федерации на жилищно-коммунальное хозяйство;Инвестиции и финансовое состояние жилищно-коммунального хозяйства;"Миллионов рублей; для значений в целом по России: млрд. руб"
Y477030059;Расходы консолидированных бюджетов субъектов Российской Федерации на реализацию мер социальной поддержки граждан по оплате жилья и коммунальных услуг;Реализация программ в сфере жилищно-коммунального хозяйства;Миллионов рублей
Y477030060;Сельский жилищный фонд;Состояние жилищного фонда;Общая площадь жилых помещений, миллионов квадратных метров
Y477030061;Сельский жилищный фонд, находящийся в собственности граждан;Состояние жилищного фонда;Общая площадь жилых помещений, миллионов квадратных метров
Y477030062;Средние цены 1 кв. метра общей площади квартир среднего качества (типовых) на первичном и вторичном рынках жилья;Строительство и рынок жилья;На конец года, рублей за квадратный метр общей площади
Y477030063;Средние цены 1 кв. метра общей площади элитных квартир на первичном и вторичном рынках жилья;Строительство и рынок жилья;На конец года, рублей за квадратный метр общей площади
Y477030064;Средние цены на первичном и вторичном рынках жилья;Строительство и рынок жилья;На конец года, рублей за квадратный метр общей площади
Y477030065;Степень износа основных фондов организаций на конец года;Жилищные условия населения;В процентах
Y477030066;Субсидии на оплату жилого помещения и коммунальных услуг, предоставленные гражданам;Реализация программ в сфере жилищно-коммунального хозяйства;
Y477030067;Удельный вес введенной общей площади жилых домов по отношению к общей площади жилищного фонда;Строительство и рынок жилья;В процентах
Y477030068;Удельный вес объема отпуска коммунальных услуг, счет за которые выставлен по показаниям приборов учета, в общем объеме отпуска коммунальных услуг;Реализация программ в сфере жилищно-коммунального хозяйства;Процентов
Y477030069;Удельный вес приватизированных жилых помещений (с начала приватизации) в общем числе жилых помещений, подлежащих приватизации;Строительство и рынок жилья;В процентах
Y477030070;Удельный вес расходов на оплату жилищно-коммунальных услуг в потребительских расходах домашних хозяйств;Реализация программ в сфере жилищно-коммунального хозяйства;По итогам выборочного обследования бюджетов домашних хозяйств, в процентах от общей суммы потребительских расходов
Y477030071;Уличное освещение городов и поселков городского типа;Жилищные условия населения;
Y477030072;Финансовые результаты деятельности организаций, осуществляющих деятельность по управлению эксплуатацией жилого фонда за вознаграждение или на договорной основе;Инвестиции и финансовое состояние жилищно-коммунального хозяйства;
Y477030073;Частный жилищный фонд;Состояние жилищного фонда;Общая площадь жилых помещений, миллионов квадратных метров
Y477030074;Число зарегистрированных прав граждан и юридических лиц на жилые помещения на основании договоров купли-продажи;Строительство и рынок жилья;
Y477030075;Число квартир в многоквартирных домах, оборудованных приборами учета потребляемых коммунальных ресурсов, на конец года;Реализация программ в сфере жилищно-коммунального хозяйства;Единиц
